Материал название,Материал номер,Иерархия 0 уровень,Иерархия 0 номер,Иерархия 1 уровень,Иерархия 2 уровень,Иерархия 3 уровень,Материал. Признак 1,Материал. Признак 10,Материал. Признак 2,Материал. Признак 3,Материал. Признак 4,Материал. Признак 5,Материал. Признак 6,Материал. Признак 7,Материал. Признак 8,Материал. Признак 9,Материал. Размер 1,Материал. Размер 10,Материал. Размер 11,Материал. Размер 12,Материал. Размер 2,Материал. Размер 3,Материал. Размер 4,Материал. Размер 5,Материал. Размер 6,Материал. Размер 7,Материал. Размер 8,Материал. Размер 9
ТР ХД 15 НЕКОНД,000000000000007368,Прочие ТМП,925,10330,1033003600,103300360001100,##,НЕКОНД,##,##,##,##,##,##,##,##,15,##,##,##,##,##,##,##,##,##,##,##
ТР ХД 15 2.5 СТ20 8734,000000000000007369,Труба,915,10270,1027003500,102700350001100,##,##,##,##,##,##,##,##,СТ20,8734,15,##,##,##,##,##,##,##,##,2.5,##,##
ТР ХД 15 3 СТ20 8734,000000000000007370,Труба,915,10270,1027003500,102700350001100,##,##,##,##,##,##,##,##,СТ20,8734,15,##,##,##,##,##,##,##,##,3,##,##
ТР ХД 16 НЕКОНД,000000000000007371,Прочие ТМП,925,10330,1033003600,103300360001100,##,НЕКОНД,##,##,##,##,##,##,##,##,16,##,##,##,##,##,##,##,##,##,##,##
ТР ХД 16 2 СТ20 8734,000000000000007372,Труба,915,10270,1027003600,102700360001100,##,##,##,##,##,##,##,##,СТ20,8734,16,##,##,##,##,##,##,##,##,2,##,##
ТР ХД 16 2.5 СТ20 8734,000000000000007373,Труба,915,10270,1027003600,102700360001100,##,##,##,##,##,##,##,##,СТ20,8734,16,##,##,##,##,##,##,##,##,2.5,##,##
ТР ХД 16 3 СТ20 8734,000000000000007374,Труба,915,10270,1027003600,102700360001100,##,##,##,##,##,##,##,##,СТ20,8734,16,##,##,##,##,##,##,##,##,3,##,##
ТР ХД 16 3.5 СТ20 8734,000000000000007375,Труба,915,10270,1027003600,102700360001100,##,##,##,##,##,##,##,##,СТ20,8734,16,##,##,##,##,##,##,##,##,3.5,##,##
ТР ХД 18 НЕКОНД,000000000000007376,Прочие ТМП,925,10330,1033003600,103300360001100,##,НЕКОНД,##,##,##,##,##,##,##,##,18,##,##,##,##,##,##,##,##,##,##,##
ТР ХД 18 2 СТ20 8734,000000000000007377,Труба,915,10270,1027003700,102700370001100,##,##,##,##,##,##,##,##,СТ20,8734,18,##,##,##,##,##,##,##,##,2,##,##
ТР ХД 18 2.5 СТ20 8734,000000000000007378,Труба,915,10270,1027003700,102700370001100,##,##,##,##,##,##,##,##,СТ20,8734,18,##,##,##,##,##,##,##,##,2.5,##,##
ТР ХД 18 3 СТ20 8734,000000000000007379,Труба,915,10270,1027003700,102700370001100,##,##,##,##,##,##,##,##,СТ20,8734,18,##,##,##,##,##,##,##,##,3,##,##
ТР ХД 20 НЕКОНД,000000000000007380,Прочие ТМП,925,10330,1033003600,103300360001100,##,НЕКОНД,##,##,##,##,##,##,##,##,20,##,##,##,##,##,##,##,##,##,##,##
